Time_s,FP1_Fx,FP1_Fy,FP1_Fz,FP2_Fx,FP2_Fy,FP2_Fz
0.000000,2.804871,-8.199585,-0.160278,1.362366,-1.892212,1.041809
0.005000,1.362366,-7.884216,0.881531,2.003479,-4.730530,1.121948
0.010000,2.404175,-3.784424,0.641113,-1.362366,12.299378,-0.320557
0.015000,3.606262,0.946106,1.202087,-0.560974,1.576843,-0.801392
0.020000,2.083618,-2.207581,0.721252,-1.121948,5.361267,2.163757
0.025000,2.163757,1.576843,-0.240417,-0.961670,-5.676636,1.121948
0.030000,2.163757,5.361267,-1.522644,-0.480835,-5.992005,-0.641113
0.035000,2.324036,-3.784424,0.480835,-1.442505,-0.315369,2.003479
0.040000,2.885010,5.992005,-0.881531,-0.160278,-6.307373,0.400696
0.045000,2.724732,3.469055,2.724732,-1.442505,5.361267,-1.041809
0.050000,2.564453,-9.145691,0.400696,0.881531,-2.207581,1.121948
0.055000,3.045288,-2.522949,0.400696,-0.320557,-6.622742,-0.160278
0.060000,3.285706,-5.992005,-1.522644,-0.961670,3.784424,0.721252
0.065000,3.285706,3.784424,0.881531,-0.080139,-8.830322,1.202087
0.070000,2.564453,-4.730530,-1.121948,0.320557,-6.307373,1.442505
0.075000,2.484314,-2.838318,-0.881531,0.881531,13.245484,0.480835
0.080000,1.682922,-10.722534,1.522644,-0.240417,-3.153687,1.282227
0.085000,1.282227,-6.938111,2.324036,-1.602783,-0.630737,0.961670
0.090000,2.324036,1.261475,0.400696,0.320557,-2.522949,2.003479
0.095000,2.644592,-5.676636,0.721252,0.641113,1.261475,0.080139
0.100000,2.644592,-6.622742,-1.682922,-0.160278,14.191590,-0.560974
0.105000,1.121948,5.992005,0.240417,0.480835,6.622742,0.801392
0.110000,2.804871,0.315369,-0.400696,0.560974,7.884216,2.484314
0.115000,2.404175,-7.568848,0.801392,2.003479,-1.261475,0.560974
0.120000,2.083618,5.361267,0.480835,-0.480835,4.730530,0.400696
0.125000,2.564453,3.469055,0.400696,0.961670,2.838318,-0.320557
0.130000,2.324036,5.676636,0.641113,-1.282227,-0.630737,0.641113
0.135000,3.045288,-5.992005,0.560974,0.240417,4.730530,0.000000
0.140000,2.163757,5.045899,-1.041809,-0.961670,7.253479,-0.961670
0.145000,0.721252,-3.153687,0.881531,-1.442505,-5.676636,0.400696
0.150000,1.121948,-0.946106,0.641113,1.362366,-8.199585,2.484314
0.155000,1.682922,-4.730530,0.400696,-1.121948,-3.153687,0.801392
0.160000,1.843201,-8.199585,2.243897,-0.160278,1.892212,-1.442505
0.165000,1.682922,-8.514954,1.121948,-2.243897,-8.199585,0.560974
0.170000,1.763062,-6.622742,-0.400696,-0.240417,0.630737,-1.843201
0.175000,3.125427,7.253479,-1.362366,-1.121948,-3.784424,0.240417
0.180000,1.202087,-5.992005,0.400696,-0.881531,-10.091797,2.083618
0.185000,1.202087,-1.892212,0.320557,-0.400696,-6.622742,-0.400696
0.190000,3.045288,-0.315369,-1.041809,-0.240417,-6.938111,2.324036
0.195000,3.686401,-2.838318,0.801392,-0.400696,-9.461060,0.080139
0.200000,2.724732,-2.207581,2.324036,0.480835,5.992005,-0.721252
0.205000,3.606262,2.207581,-0.400696,-2.324036,5.992005,-0.560974
0.210000,1.843201,-7.568848,1.362366,-1.282227,3.469055,2.003479
0.215000,3.686401,-10.091797,0.240417,-0.881531,0.315369,1.202087
0.220000,3.125427,-3.469055,1.522644,0.560974,-1.261475,1.602783
0.225000,1.682922,-2.522949,0.240417,-1.522644,-6.307373,0.400696
0.230000,2.324036,-3.784424,-1.522644,-0.801392,1.261475,0.160278
0.235000,4.567932,-1.892212,0.400696,-1.602783,5.361267,0.480835
0.240000,2.484314,-2.522949,-1.121948,-0.400696,2.207581,-0.240417
0.245000,2.324036,-5.045899,-0.480835,-0.080139,7.884216,2.804871
0.250000,2.163757,1.892212,1.763062,0.080139,-8.830322,2.003479
0.255000,1.763062,-3.153687,0.881531,0.160278,7.568848,-1.602783
0.260000,2.163757,2.207581,0.320557,1.041809,0.630737,-0.240417
0.265000,2.163757,-0.630737,-0.000000,-0.320557,4.415161,2.243897
0.270000,0.721252,-7.253479,0.961670,1.041809,0.630737,-0.240417
0.275000,2.324036,5.676636,0.320557,-0.400696,-3.469055,2.564453
0.280000,1.041809,-0.000000,1.041809,-0.160278,14.506958,-0.240417
0.285000,3.846680,-4.415161,1.522644,-0.400696,-1.892212,0.641113
0.290000,2.885010,-1.892212,-1.682922,-1.682922,6.622742,2.083618
0.295000,3.205566,0.315369,0.560974,-0.480835,9.145691,2.724732
0.300000,1.602783,-8.830322,-0.160278,0.080139,5.045899,1.602783
0.305000,2.243897,7.884216,0.560974,-0.480835,3.153687,0.961670
0.310000,1.041809,-5.045899,1.202087,-1.041809,-1.892212,2.564453
0.315000,0.961670,-2.838318,-0.721252,-1.282227,1.892212,0.480835
0.320000,1.522644,-1.892212,0.160278,-2.083618,6.938111,0.560974
0.325000,2.885010,0.946106,2.644592,-0.320557,5.676636,-0.641113
0.330000,1.362366,-2.838318,0.641113,1.041809,-0.630737,1.362366
0.335000,2.724732,-2.838318,-0.560974,0.320557,-3.153687,0.641113
0.340000,2.243897,-9.145691,0.080139,0.801392,0.315369,1.763062
0.345000,2.564453,-15.453064,0.961670,-0.641113,1.892212,2.003479
0.350000,2.404175,-5.676636,-0.400696,-0.881531,-1.261475,-2.243897
0.355000,3.365845,1.576843,0.641113,-1.923340,6.622742,1.442505
0.360000,2.484314,1.261475,0.320557,-0.560974,-4.730530,0.560974
0.365000,1.843201,-7.568848,-0.641113,-0.881531,4.415161,1.121948
0.370000,0.801392,0.315369,0.400696,-3.205566,0.946106,0.801392
0.375000,3.526123,1.892212,0.961670,-2.003479,2.522949,0.801392
0.380000,1.602783,6.938111,-0.080139,-0.560974,13.245484,0.641113
0.385000,2.324036,-12.930115,-0.480835,0.240417,11.353272,1.202087
0.390000,3.846680,-1.261475,-0.480835,-0.721252,5.992005,2.243897
0.395000,1.602783,-13.560852,0.320557,0.480835,2.207581,0.721252
0.400000,2.484314,3.469055,-2.885010,-0.721252,-0.315369,0.320557
0.405000,2.804871,2.207581,0.961670,-1.763062,-2.207581,1.282227
0.410000,2.003479,-8.199585,-2.324036,0.080139,8.514954,-0.881531
0.415000,2.724732,-9.461060,-0.641113,-2.083618,12.299378,0.881531
0.420000,2.484314,-4.099793,-0.000000,-0.080139,-7.568848,-0.240417
0.425000,2.163757,2.207581,0.400696,0.240417,-7.568848,1.362366
0.430000,2.564453,0.315369,-0.080139,-0.560974,-6.938111,-1.041809
0.435000,2.404175,-5.992005,1.602783,-0.160278,-0.630737,-0.721252
0.440000,3.365845,-3.153687,-0.721252,1.442505,-2.838318,1.282227
0.445000,0.721252,3.469055,1.121948,-1.602783,10.091797,0.400696
0.450000,0.560974,-10.091797,0.480835,-1.282227,-8.199585,-0.080139
0.455000,3.285706,-9.461060,-1.202087,-0.080139,9.145691,0.080139
0.460000,0.961670,-7.253479,0.881531,-1.522644,-0.315369,-1.041809
0.465000,2.644592,-7.568848,0.560974,1.282227,8.514954,0.160278
0.470000,2.404175,-1.261475,-0.080139,-1.923340,4.099793,-0.480835
0.475000,1.602783,1.261475,-1.121948,-0.400696,-4.730530,1.442505
0.480000,2.885010,-5.361267,0.080139,0.160278,1.261475,2.083618
0.485000,2.644592,6.307373,0.320557,-1.843201,2.838318,-1.121948
0.490000,2.564453,-3.469055,-0.560974,-0.881531,-1.892212,1.763062
0.495000,1.202087,-7.253479,-1.923340,0.400696,9.461060,-0.961670
0.500000,2.724732,-2.522949,0.480835,-0.320557,-9.776428,1.121948
0.505000,2.404175,-2.838318,-0.160278,-3.205566,-1.261475,-0.801392
0.510000,2.163757,-6.938111,0.560974,-0.801392,-7.253479,0.881531
0.515000,1.202087,1.892212,2.083618,-2.324036,-5.045899,2.083618
0.520000,3.846680,-2.522949,-0.641113,-0.641113,-6.307373,0.560974
0.525000,2.965149,-5.045899,0.240417,-0.400696,0.630737,-0.320557
0.530000,2.083618,1.261475,0.721252,0.000000,0.315369,0.320557
0.535000,3.926819,-2.838318,-0.080139,-0.560974,9.145691,1.923340
0.540000,1.763062,6.307373,0.961670,-2.564453,3.469055,-1.041809
0.545000,1.843201,-5.992005,-0.641113,-0.721252,-0.946106,-0.641113
0.550000,3.285706,-12.614746,1.121948,-1.763062,7.884216,0.560974
0.555000,0.801392,-0.630737,0.080139,-1.362366,1.261475,-0.400696
0.560000,2.243897,-4.099793,0.320557,0.961670,4.099793,0.400696
0.565000,2.404175,-1.576843,0.320557,-0.801392,5.992005,0.320557
0.570000,2.724732,-4.415161,2.243897,1.602783,-4.099793,1.282227
0.575000,2.885010,-6.938111,0.721252,-0.560974,6.938111,0.080139
0.580000,2.243897,-5.992005,0.320557,-0.560974,0.946106,0.480835
0.585000,0.240417,-3.784424,0.721252,0.240417,8.830322,0.560974
0.590000,2.163757,-1.892212,-0.961670,0.400696,0.315369,-0.320557
0.595000,2.484314,-6.938111,-0.400696,-1.121948,-8.514954,0.320557
0.600000,2.324036,-9.145691,2.324036,-1.041809,4.415161,0.801392
0.605000,2.484314,3.784424,-0.160278,-1.202087,7.884216,-0.721252
0.610000,1.041809,-2.207581,0.160278,-0.801392,-7.253479,-0.000000
0.615000,1.602783,-6.307373,-0.801392,-0.080139,-3.153687,2.083618
0.620000,2.644592,5.992005,0.320557,-0.801392,-2.522949,-0.160278
0.625000,3.285706,-7.253479,-0.801392,-0.881531,-0.946106,0.961670
0.630000,1.282227,-6.938111,2.163757,-0.320557,0.630737,1.843201
0.635000,3.445984,-5.045899,-1.121948,-1.362366,-0.630737,0.881531
0.640000,1.923340,-6.938111,-0.961670,-0.801392,-0.000000,2.083618
0.645000,2.885010,-9.461060,0.480835,-0.400696,-1.892212,2.644592
0.650000,4.087097,-3.784424,0.961670,-0.721252,7.884216,-0.881531
0.655000,2.564453,-4.415161,-0.320557,1.121948,-15.768433,-0.400696
0.660000,0.881531,1.261475,2.564453,0.320557,-7.253479,-1.923340
0.665000,2.324036,1.892212,0.961670,-1.442505,-7.568848,-0.721252
0.670000,0.240417,-3.153687,-0.881531,-1.202087,-2.838318,-0.080139
0.675000,2.003479,-5.045899,1.121948,-1.041809,-3.784424,2.083618
0.680000,1.843201,-3.469055,-0.961670,-1.442505,-0.000000,1.282227
0.685000,0.961670,-9.145691,-1.362366,-1.202087,-11.984009,-0.080139
0.690000,3.686401,1.261475,0.480835,-1.121948,9.461060,0.560974
0.695000,2.083618,-2.522949,1.041809,-0.080139,0.315369,1.923340
0.700000,0.721252,-6.938111,-1.121948,0.160278,-3.784424,0.641113
0.705000,2.564453,-0.315369,-1.202087,1.202087,3.153687,0.160278
0.710000,2.083618,1.576843,1.843201,-1.121948,4.730530,0.160278
0.715000,2.885010,-3.469055,1.602783,-0.721252,-0.630737,0.080139
0.720000,2.163757,-7.568848,0.560974,-0.160278,5.676636,0.480835
0.725000,3.365845,-2.522949,-0.320557,1.202087,-9.145691,1.282227
0.730000,2.484314,-8.514954,0.961670,-0.721252,-2.207581,2.163757
0.735000,4.327515,-0.315369,-0.641113,-1.121948,6.307373,0.881531
0.740000,1.682922,-9.776428,1.121948,-2.243897,-6.622742,-1.202087
0.745000,0.801392,-1.892212,1.522644,-1.282227,-3.469055,1.282227
0.750000,2.965149,-2.838318,0.320557,-0.560974,-7.253479,1.602783
0.755000,2.564453,-11.668640,0.080139,-3.045288,-6.307373,-0.320557
0.760000,1.923340,-2.838318,-0.560974,-0.641113,0.315369,-0.881531
0.765000,1.923340,0.315369,0.240417,0.560974,0.946106,0.961670
0.770000,1.923340,-0.315369,-1.121948,-0.320557,-1.892212,0.400696
0.775000,2.324036,-3.469055,-0.240417,-0.160278,7.884216,0.641113
0.780000,1.041809,4.415161,0.641113,-0.721252,-4.730530,0.641113
0.785000,2.484314,-4.099793,2.404175,0.240417,-6.307373,1.442505
0.790000,2.003479,-3.153687,0.641113,-0.881531,9.461060,-0.240417
0.795000,1.682922,-4.730530,0.480835,-19.473816,23.968018,-6.010437
0.800000,1.442505,6.307373,-0.240417,-44.797792,56.766359,-16.829224
0.805000,1.202087,-3.153687,-0.160278,-42.714173,140.654422,-38.627076
0.810000,2.885010,-4.730530,0.721252,-83.344728,277.209052,-19.313538
0.815000,3.686401,-5.045899,0.240417,-68.839540,518.150708,-3.125427
0.820000,2.564453,-11.353272,1.282227,-118.926516,822.166096,-44.316957
0.825000,1.843201,-7.253479,-0.400696,-235.849554,1075.722499,-60.905763
0.830000,1.602783,-13.876221,1.041809,-224.630071,1123.658535,128.142520
0.835000,1.121948,-4.099793,0.400696,-55.937135,1223.315031,175.745182
0.840000,2.644592,-11.037903,1.763062,-48.564332,1196.824064,129.104190
0.845000,3.926819,7.253479,0.320557,-81.982363,1181.686368,89.996279
0.850000,2.484314,4.099793,1.282227,-152.665104,1179.794156,61.707155
0.855000,2.484314,-4.730530,0.560974,-240.337347,1161.187405,27.968568
0.860000,1.923340,-4.730530,1.041809,-240.337347,1126.496853,-12.020874
0.865000,2.804871,-12.299378,0.721252,-219.340886,1103.790309,-33.017335
0.870000,3.125427,-3.469055,2.163757,-219.180608,1154.564664,-39.508607
0.875000,4.407654,-6.307373,0.400696,-215.013372,1220.476713,-42.313478
0.880000,1.121948,-6.622742,1.682922,-180.553532,1273.143280,-36.543458
0.885000,2.243897,-6.622742,1.362366,-131.909061,1339.055329,-20.916321
0.890000,3.045288,4.099793,0.641113,-93.281985,1396.137057,-2.324036
0.895000,2.163757,2.522949,1.121948,-77.093874,1445.019199,-9.296143
0.900000,2.324036,2.838318,-0.080139,-50.647950,1475.294591,-26.526063
0.905000,2.324036,0.000000,-1.362366,-25.404114,1464.256687,-40.149720
0.910000,2.724732,-1.892212,-0.480835,-6.010437,1431.458347,-49.766420
0.915000,3.365845,-0.315369,-0.400696,8.574890,1390.460421,-54.654908
0.920000,2.003479,-1.892212,-0.320557,16.107972,1345.993440,-50.567811
0.925000,2.163757,-5.676636,-1.923340,21.317017,1293.642242,-47.923219
0.930000,2.243897,-9.145691,0.320557,27.407593,1248.859893,-53.212404
0.935000,2.083618,-9.461060,0.721252,41.512086,1190.516691,-53.853517
0.940000,1.121948,-2.838318,-0.560974,63.790773,1143.842129,-49.365724
0.945000,2.404175,8.514954,-0.240417,85.588625,1099.059779,-38.066102
0.950000,2.324036,-7.568848,-1.282227,110.752322,1055.854273,-33.818726
0.955000,0.961670,-5.676636,0.721252,137.919498,1000.980126,-29.811768
0.960000,2.404175,5.676636,0.320557,156.992618,940.429344,-21.797852
0.965000,2.644592,-7.253479,0.721252,161.881107,871.994344,-15.306580
0.970000,1.682922,-6.622742,1.682922,164.525700,801.036396,-9.937256
0.975000,2.564453,-6.938111,2.243897,161.800968,726.924761,-6.891968
0.980000,3.045288,-5.045899,-0.080139,157.393314,638.306167,2.564453
0.985000,1.282227,-1.892212,-0.240417,154.748722,564.509901,7.853638
0.990000,1.602783,-4.415161,-0.080139,145.692997,485.667736,10.898926
0.995000,2.484314,4.730530,0.641113,128.863773,407.140940,11.940735
1.000000,2.003479,-2.838318,-0.160278,110.031069,335.867623,8.094055
1.005000,2.404175,-3.784424,-0.721252,91.518923,276.578315,12.341431
1.010000,4.648071,-0.630737,-0.000000,76.853456,211.612371,8.574890
1.015000,2.644592,3.469055,0.721252,57.139223,161.784122,9.135864
1.020000,3.205566,9.145691,-1.282227,48.884889,131.193362,7.533081
1.025000,4.407654,-7.884216,0.721252,31.414552,95.556704,4.167236
1.030000,2.243897,2.838318,-0.961670,20.195069,64.650575,0.480835
1.035000,2.163757,-0.000000,2.003479,13.864075,58.658571,-0.881531
1.040000,2.564453,0.315369,2.243897,5.449463,29.013917,2.083618
1.045000,0.480835,-10.722534,-0.080139,3.045288,22.706544,1.522644
1.050000,3.285706,-12.930115,-0.560974,0.400696,16.399170,0.080139
1.055000,1.602783,-5.992005,-0.641113,-2.484314,15.768433,-1.923340
1.060000,0.080139,-2.207581,-0.480835,1.362366,-0.630737,3.205566
1.065000,2.404175,-5.361267,0.961670,-1.041809,-2.838318,-1.442505
1.070000,0.641113,1.576843,0.480835,-0.721252,-0.315369,-0.801392
1.075000,2.484314,-6.307373,-0.801392,-0.320557,7.884216,0.400696
1.080000,1.522644,-0.000000,1.041809,1.041809,7.568848,1.041809
1.085000,2.804871,-8.199585,-1.041809,-0.400696,2.207581,1.522644
1.090000,1.923340,-2.522949,0.240417,-0.641113,5.676636,0.961670
1.095000,2.163757,-9.776428,-0.160278,0.721252,-9.461060,1.682922
1.100000,2.324036,-4.415161,2.003479,-1.682922,7.568848,1.442505
1.105000,3.526123,-2.838318,-0.480835,0.000000,7.568848,0.721252
1.110000,2.885010,-7.568848,0.240417,-0.560974,7.568848,-0.641113
1.115000,2.804871,1.892212,-0.080139,-0.160278,2.838318,0.801392
1.120000,1.522644,-4.099793,0.721252,-0.320557,-4.730530,1.282227
1.125000,2.564453,-7.253479,2.484314,0.080139,-7.568848,-0.480835
1.130000,2.404175,-1.892212,-1.442505,-0.480835,6.622742,-1.763062
1.135000,2.965149,-1.576843,0.641113,-1.121948,-3.153687,0.801392
1.140000,2.083618,-3.784424,-0.080139,-1.121948,6.938111,2.243897
1.145000,1.522644,-3.153687,2.003479,-1.843201,-2.522949,0.801392
1.150000,0.240417,6.307373,0.160278,-1.202087,11.984009,-1.121948
1.155000,2.804871,-3.153687,1.522644,-2.404175,-2.207581,-1.602783
1.160000,3.526123,-2.522949,0.320557,-1.202087,-6.938111,1.362366
1.165000,1.763062,-3.784424,-0.641113,-1.923340,7.884216,-0.160278
1.170000,2.083618,-11.984009,-0.320557,-3.606262,-6.307373,0.160278
1.175000,1.282227,-2.207581,-0.400696,-2.243897,1.892212,2.163757
1.180000,1.843201,0.315369,0.480835,-1.923340,3.784424,-4.167236
1.185000,2.404175,1.576843,0.801392,-0.480835,9.145691,-2.564453
1.190000,2.564453,-9.461060,0.641113,-2.965149,6.622742,1.923340
1.195000,2.885010,4.099793,-1.282227,-3.045288,5.676636,-0.721252
1.200000,2.243897,-9.145691,-0.080139,-1.923340,5.992005,1.041809
1.205000,0.801392,2.207581,0.721252,-2.644592,2.838318,1.602783
1.210000,3.125427,1.892212,1.282227,-2.564453,2.838318,1.682922
1.215000,2.484314,-5.045899,-1.442505,-1.682922,-6.622742,-1.041809
1.220000,1.121948,3.469055,-0.240417,-1.763062,1.892212,-0.641113
1.225000,1.763062,-0.315369,0.160278,-1.202087,1.892212,-0.400696
1.230000,1.843201,-4.099793,1.121948,-0.320557,-4.099793,3.045288
1.235000,1.282227,-4.730530,0.881531,-0.721252,3.153687,1.362366
1.240000,1.763062,-1.892212,0.961670,-0.961670,-3.153687,-0.400696
1.245000,0.320557,-0.315369,-0.320557,-1.041809,9.145691,0.560974
1.250000,3.285706,5.045899,-1.121948,0.240417,-3.784424,-1.442505
1.255000,2.484314,-0.630737,-1.682922,-0.240417,3.153687,0.000000
1.260000,3.125427,-3.784424,-0.961670,2.804871,6.622742,-1.282227
1.265000,1.602783,-4.099793,2.003479,0.721252,11.984009,0.721252
1.270000,1.763062,-5.992005,-0.881531,1.923340,-1.576843,0.160278
1.275000,2.564453,-7.568848,0.801392,0.641113,-1.261475,-0.480835
1.280000,3.205566,-2.207581,0.160278,0.400696,-16.714539,-0.240417
1.285000,3.285706,9.145691,0.240417,1.522644,-4.415161,-0.080139
1.290000,2.404175,-4.099793,-0.721252,0.721252,-6.307373,0.320557
1.295000,1.202087,2.207581,0.000000,2.324036,7.253479,-1.442505
1.300000,2.163757,5.045899,1.522644,0.961670,-4.099793,-1.202087
1.305000,1.202087,-2.838318,-0.641113,1.362366,-1.576843,-1.442505
1.310000,2.885010,0.946106,1.442505,-0.240417,6.938111,0.881531
1.315000,1.682922,-8.830322,1.843201,1.602783,-6.307373,-0.320557
1.320000,3.365845,-1.576843,0.881531,1.763062,-7.884216,-0.160278
1.325000,2.163757,-0.630737,1.522644,0.641113,10.091797,-0.400696
1.330000,2.243897,-5.361267,1.763062,0.961670,0.315369,0.881531
1.335000,1.442505,2.207581,0.721252,-0.320557,-4.415161,0.320557
1.340000,2.243897,0.315369,0.721252,1.282227,1.892212,-0.480835
1.345000,2.644592,-5.361267,-0.721252,-0.160278,-10.407166,0.400696
1.350000,2.965149,-0.630737,1.121948,-0.641113,-0.315369,0.480835
1.355000,3.045288,1.576843,1.602783,0.721252,2.522949,0.320557
1.360000,1.843201,-1.892212,-3.125427,-0.080139,-0.946106,1.522644
1.365000,2.324036,-6.307373,-0.400696,-1.202087,5.992005,0.080139
1.370000,2.404175,-3.784424,-0.480835,-0.560974,-2.207581,1.362366
1.375000,1.362366,-7.253479,-0.480835,-2.083618,7.884216,0.400696
1.380000,2.003479,-7.568848,0.320557,0.480835,-2.522949,-0.320557
1.385000,4.327515,-0.315369,0.560974,-1.522644,0.315369,0.320557
1.390000,1.362366,-6.307373,1.763062,0.480835,2.522949,1.522644
1.395000,3.285706,0.946106,0.721252,-0.080139,-5.361267,1.442505
1.400000,2.324036,10.407166,0.240417,-0.560974,-5.992005,0.480835
1.405000,2.965149,-2.207581,-0.560974,-2.163757,-3.784424,-1.843201
1.410000,2.083618,-7.884216,0.480835,-0.320557,4.099793,-0.320557
1.415000,1.362366,-3.153687,0.400696,-1.282227,2.838318,0.801392
1.420000,0.801392,-2.207581,1.121948,0.560974,3.469055,0.080139
1.425000,2.404175,1.261475,0.881531,0.320557,-3.153687,0.881531
1.430000,1.282227,-5.992005,0.240417,-0.160278,0.946106,0.961670
1.435000,0.721252,-8.199585,0.480835,-0.801392,-7.253479,0.160278
1.440000,0.400696,-3.469055,0.801392,-0.320557,-4.730530,-2.404175
1.445000,4.167236,-7.568848,0.801392,-2.083618,7.884216,0.480835
1.450000,2.083618,-9.145691,-0.400696,0.560974,-0.630737,0.400696
1.455000,0.641113,-1.261475,-0.160278,-1.202087,-1.892212,0.320557
1.460000,2.484314,0.630737,0.000000,-0.560974,0.946106,0.560974
1.465000,1.442505,5.676636,0.801392,-0.961670,-5.045899,0.641113
1.470000,1.442505,-4.099793,0.881531,-1.763062,7.568848,-1.843201
1.475000,2.243897,0.946106,0.160278,1.442505,-3.153687,-0.560974
1.480000,4.968628,0.315369,-0.721252,-0.160278,-1.261475,0.320557
1.485000,2.484314,-5.676636,1.362366,0.480835,-3.469055,0.721252
1.490000,2.644592,9.461060,-1.041809,-0.961670,-2.522949,0.480835
1.495000,0.801392,0.315369,0.240417,-1.121948,7.253479,-0.480835
1.500000,2.804871,-10.407166,1.843201,-0.080139,-4.099793,0.801392
1.505000,3.045288,-8.514954,0.080139,0.480835,4.730530,0.641113
1.510000,1.682922,-2.838318,0.801392,-0.080139,-5.992005,-0.480835
1.515000,3.285706,-2.838318,-0.881531,0.881531,13.560852,-0.400696
1.520000,2.003479,5.676636,0.080139,0.721252,-0.946106,0.400696
